siteIndex,x,y,n1,n2,n3,n4,n5,n6,n7,n8,Sublattice
1,0.5,0.792893,4,2,15,3,16,14,6,12,A
2,0.207107,0.5,4,12,1,3,9,11,15,17,B
3,0.5,0.207107,4,2,1,17,18,20,6,12,C
4,0.792893,0.5,6,2,1,3,5,7,15,17,D
5,1.5,0.792893,8,6,27,7,28,26,22,4,A
6,1.207107,0.5,8,4,5,7,1,3,27,29,B
7,1.5,0.207107,8,6,5,29,30,32,22,4,C
8,1.792893,0.5,22,6,5,7,21,23,27,29,D
9,4.5,0.792893,12,10,39,11,40,38,2,36,A
10,4.207107,0.5,12,36,9,11,33,35,39,41,B
11,4.5,0.207107,12,10,9,41,42,44,2,36,C
12,4.792893,0.5,2,10,9,11,1,3,39,41,D
13,0.5,1.792893,16,14,47,15,48,46,26,40,A
14,0.207107,1.5,16,40,13,15,37,39,47,1,B
15,0.5,1.207107,16,14,13,1,2,4,26,40,C
16,0.792893,1.5,26,14,13,15,25,27,47,1,D
17,0.5,4.792893,20,18,3,19,4,2,30,44,A
18,0.207107,4.5,20,44,17,19,41,43,3,49,B
19,0.5,4.207107,20,18,17,49,50,52,30,44,C
20,0.792893,4.5,30,18,17,19,29,31,3,49,D
21,2.5,0.792893,24,22,55,23,56,54,34,8,A
22,2.207107,0.5,24,8,21,23,5,7,55,57,B
23,2.5,0.207107,24,22,21,57,58,60,34,8,C
24,2.792893,0.5,34,22,21,23,33,35,55,57,D
25,1.5,1.792893,28,26,63,27,64,62,54,16,A
26,1.207107,1.5,28,16,25,27,13,15,63,5,B
27,1.5,1.207107,28,26,25,5,6,8,54,16,C
28,1.792893,1.5,54,26,25,27,53,55,63,5,D
29,1.5,4.792893,32,30,7,31,8,6,58,20,A
30,1.207107,4.5,32,20,29,31,17,19,7,65,B
31,1.5,4.207107,32,30,29,65,66,68,58,20,C
32,1.792893,4.5,58,30,29,31,57,59,7,65,D
33,3.5,0.792893,36,34,71,35,72,70,10,24,A
34,3.207107,0.5,36,24,33,35,21,23,71,73,B
35,3.5,0.207107,36,34,33,73,74,76,10,24,C
36,3.792893,0.5,10,34,33,35,9,11,71,73,D
37,4.5,1.792893,40,38,79,39,80,78,14,72,A
38,4.207107,1.5,40,72,37,39,69,71,79,9,B
39,4.5,1.207107,40,38,37,9,10,12,14,72,C
40,4.792893,1.5,14,38,37,39,13,15,79,9,D
41,4.5,4.792893,44,42,11,43,12,10,18,76,A
42,4.207107,4.5,44,76,41,43,73,75,11,81,B
43,4.5,4.207107,44,42,41,81,82,84,18,76,C
44,4.792893,4.5,18,42,41,43,17,19,11,81,D
45,0.5,2.792893,48,46,51,47,52,50,62,80,A
46,0.207107,2.5,48,80,45,47,77,79,51,13,B
47,0.5,2.207107,48,46,45,13,14,16,62,80,C
48,0.792893,2.5,62,46,45,47,61,63,51,13,D
49,0.5,3.792893,52,50,19,51,20,18,66,84,A
50,0.207107,3.5,52,84,49,51,81,83,19,45,B
51,0.5,3.207107,52,50,49,45,46,48,66,84,C
52,0.792893,3.5,66,50,49,51,65,67,19,45,D
53,2.5,1.792893,56,54,87,55,88,86,70,28,A
54,2.207107,1.5,56,28,53,55,25,27,87,21,B
55,2.5,1.207107,56,54,53,21,22,24,70,28,C
56,2.792893,1.5,70,54,53,55,69,71,87,21,D
57,2.5,4.792893,60,58,23,59,24,22,74,32,A
58,2.207107,4.5,60,32,57,59,29,31,23,89,B
59,2.5,4.207107,60,58,57,89,90,92,74,32,C
60,2.792893,4.5,74,58,57,59,73,75,23,89,D
61,1.5,2.792893,64,62,67,63,68,66,86,48,A
62,1.207107,2.5,64,48,61,63,45,47,67,25,B
63,1.5,2.207107,64,62,61,25,26,28,86,48,C
64,1.792893,2.5,86,62,61,63,85,87,67,25,D
65,1.5,3.792893,68,66,31,67,32,30,90,52,A
66,1.207107,3.5,68,52,65,67,49,51,31,61,B
67,1.5,3.207107,68,66,65,61,62,64,90,52,C
68,1.792893,3.5,90,66,65,67,89,91,31,61,D
69,3.5,1.792893,72,70,95,71,96,94,38,56,A
70,3.207107,1.5,72,56,69,71,53,55,95,33,B
71,3.5,1.207107,72,70,69,33,34,36,38,56,C
72,3.792893,1.5,38,70,69,71,37,39,95,33,D
73,3.5,4.792893,76,74,35,75,36,34,42,60,A
74,3.207107,4.5,76,60,73,75,57,59,35,97,B
75,3.5,4.207107,76,74,73,97,98,100,42,60,C
76,3.792893,4.5,42,74,73,75,41,43,35,97,D
77,4.5,2.792893,80,78,83,79,84,82,46,96,A
78,4.207107,2.5,80,96,77,79,93,95,83,37,B
79,4.5,2.207107,80,78,77,37,38,40,46,96,C
80,4.792893,2.5,46,78,77,79,45,47,83,37,D
81,4.5,3.792893,84,82,43,83,44,42,50,100,A
82,4.207107,3.5,84,100,81,83,97,99,43,77,B
83,4.5,3.207107,84,82,81,77,78,80,50,100,C
84,4.792893,3.5,50,82,81,83,49,51,43,77,D
85,2.5,2.792893,88,86,91,87,92,90,94,64,A
86,2.207107,2.5,88,64,85,87,61,63,91,53,B
87,2.5,2.207107,88,86,85,53,54,56,94,64,C
